,text
847,Women have the same  pride  in there team as men! This seems like a ridiculous statement. Ladies? #Athletics  #RootedInOakland  Is it not 2018! This and @chrisgiles01  today. @Athletics  You can do better.
848,Remember when we used to take  pride  in our pitching? #RootedInOakland
849,"50 years ago today, the #Athletics  played their first game in Oakland. 

In the last half-century, no team in sports has accomplished more with less.

Here's to another 50 in Oakland. Another 50 with East Bay  pride . Another 50 of slaying Goliath. #RootedInOakland   pic.twitter.com/jDpQSziyet"
850,Sporting my #greenandgold  @becuzIcare11  bracelet to show my @Athletics  colors and my #westsacbestsac   pride . #RootedInOakland  #Athletics  #50thAnniversary pic.twitter.com/M3BUR56Yyk  – at  O.co Coliseum
851,OAKLAND   PRIDE  LETS GO!!!   #athletics  #NoHitter
852,The #Athletics  have something special going on! #RootedinOakland   So proud of @BABYSMGIRAFFE  Thank you for the  pride ! #LetsGoOakland
853,How can we get @Stomper00  and The Herd to join us in the SF  Pride  Parade (Sunday June 24)walking (or riding on the fire truck) with the  Oakland   Pride  and  Oakland  Fire Department Random Acts of Kindness contingent? @Athletics  @DaveKaval
854,Which side 'ya got in the #BattleOfTheBay ? Book your donation now to sport your team  pride :  http:// BloodSource.org    @SFGiants  @Athletics  #SFGiants  #RootedInOakland  #AttPark  #BayBridgeSeries pic.twitter.com/VkLIeldoEP
855,"Be sure to swing by @Oaklandish  to show your Town  pride  for Small Business Week.
#RootedInOakland   pic.twitter.com/T4Rt5tXBKK"
856,"There are TWO AMAZING ""KDs"" in #Oakland  - #KhrisDavis  and #KevinDurant ! I LOVE it! #LetsGoOakland !! #Athletics  #Warriors  #IHellaLoveOakland ! #StrengthInNumbers  #RootedInOakland  #TheTown  #OaklandPride ! Let's win it all #Dubs !! And the A's are on their way up watch out! #MLB"
857,".@Stomper00  had a great time touring the  Oakland  LGBTQ Community Center yesterday!
Get your tickets to  Pride  Night on June 8.
 http:// athletics.com/pride   pic.twitter.com/jz3W4CxGKq"
858,"@ Indians  time to join the club and host a #pridenight !

@Padres  @Rockies  @Nationals  @RedSox  @Reds  @Dodgers  @Athletics  @RaysBaseball  @BlueJays  @Cubs  @Mariners  @Brewers  @SFGiants  @Braves  @Orioles  @Phillies  @Dbacks  @Pirates  @Twins  @Mets  @Cardinals  @Royals http:// bit.ly/2IunLvd  "
859,"I’m so jazzed that the @BlueJays  have  pride  merch now  I couldn’t pass up buying one, and I also got a #camo  hat because it’s some country thing today?   my #BlueJay  hat collection is getting real. #pride  #lgbtq  #LGBTQslay"
860,If anyone is going to the #BlueJays   Pride  game on June 6th and is willing to grab me a spare hoodie I’d VERY much appreciate it. I was supposed to go but can’t now 
861,Happy weekend! We are still beaming with  pride  from our Orchestra's amazing playing of the anthems at Wednesday's  Blue Jays  game! It was a fun night out for our whole community and our musicians played with poise and polish.  pic.twitter.com/Ip0X6luzAS
862,"Were back for  Pride  Night@the Toronto  Blue Jays  Game June 6@Rogers Centre.   Blue Jays  take on the Yankees!  Game time 7:07 pm. The first 15,000 fans to arrive at the stadium receive a  Blue Jays  Rainbow Hooded Henley! PROUD FM is Live on location with Jaret & DJ Alejo!  pic.twitter.com/7MRhiKa1nU"
863,@ Devin_Heroux  I’m traveling to TO from Regina in June two attend a two-day counselling conference; coming solo from my family and planning to attend the @BlueJays  vs @Yankees  game on June 6th which is also the #PRIDE  game — just wondering if you would like to meet a Saskie there!
864,"Its official. Shapiro and Atkins have no  pride . These players deserve support. Get them some. 
#BlueJays"
865,Omg yes liz! Wear that with  pride  you’ll look fantastic! Thanks for telling me about the shirt too! You’re the best!
866,"Sign this guy. Has ability, competitiveness & civic  pride . Not only wants to win but wants to win right here."
867,Way to show your  pride  in Raptors good going guys .Will be watching your game tomorrow     
868,He made papa watch with  pride . #BlueJays  #MLB  #SundayAfternoon
869,"Dear @BlueJays , how do you expect anyone to pay a ridiculous amount of money for the June 6th game?? I would love to go since it's  Pride  Night but $60 for relatively okayish seats??? As a fan I am disappointed."
870,Love it. #pride  #respect
871,Toronto  pride    #BlueJays  players show up for work in #Raptors  gear  http:// ow.ly/e2du50uqo5m    #WeTheNorth  #LetsGoBlueJays pic.twitter.com/qEvCwibKs2
872,"Were back for  Pride  Night@the Toronto  Blue Jays  Game June 6@Rogers Centre.  Blue Jays  take on the Yankees! Game time 7:07 pm. The first 15,000 fans to arrive at the stadium receive a  Blue Jays  Rainbow Hooded Henley! PROUD FM is Live on location with Jaret & DJ Alejo!  pic.twitter.com/7xTZAsNyfQ"
873,wow the  blue jays  are really out here trying to get the gays to come watch a game with a  pride  themed game night lmao
874,"Hey @BlueJays , when you gonna drop some deal codes for  Pride  Night like you did last year? That’s me in then Mary shirt btw   #bluejays  #pride   pic.twitter.com/h22nI6oYCp"
875,It took me a second to realize also that you were referring to the  Blue Jays . I was like where’s the T?   this would be a great way bring a  Pride  LGBT sponsorship/promotion next season to LGB and raise funds for a worthy cause for the LGBT community. LGB & LGBT perfect together!
876,PROUD FM celebrates  PRIDE  NIGHT at Toronto  Blue Jays  game June 6th!  We will be there spinning the hottest tunes from DJ Alejo!  Arrive early for the FREE Rainbow Hooded Henley!  Listen to win tix to game!!  pic.twitter.com/ado0nsbgTf
877,"I   @MStrooo6  this man has so much  pride  for Toronto, it’s hard to believe he was not born Canadian. #WeTheNorth  #Raptors  #BlueJays   https:// twitter.com/TSN_Sports/sta tus/1132844199529910272   …"
878,My partner  and I are attending the @BlueJays   Pride  night game on June 6th. Our 5 year wedding anniversary is June 7th... how can I get a shout out for our anniversary at the game to surprise my partner? @DinaPugliese  @roho680  @BTtoronto  @680NEWS  can you help us?   #onelove
879,"Want to go to  Pride  Night FREE at the Toronto  Blue Jays  game Thursday, June 6th?  Listen all this at week between 3:30pm-3:45 for a chance to WIN tix!  Don't forget the first 15,000 fans receive a  Blue Jays  Rainbow Hooded Henley!  PROUD FM will be there with Jaret & Dj Alejo!  pic.twitter.com/JhZFFhoHWl"
880,Celebrate your  pride  on June 6th at our  Pride  Night! Pres. by @TD_Canada   pic.twitter.com/4SlgwFQiqT
881,Read something similar about  Blue Jays  fans. Lots of  pride  when there's only one franchise in the entire country. (Miss u Vancouver Grizzlies)
882,Looking at the comments on @BlueJays  social media posts advertising  Pride  Night is infuriating.  But no wonder last year’s had the best crowd/atmosphere of the year!! These fools obviously stay home.
883,It's a great time to be a fan in #Toronto . Join #YCP  and the @BlueJays  for  Pride  Night on June 6th vs the @Yankees . Amazing giveaways for the first 15k fans and specially priced tickets at  http://www. bluejays.com/pridebluejays   . #BlueJays  #pride     pic.twitter.com/BOGf4L5ZrY
884,"It's  Pride  Night at the Toronto Blue Game Thursday, June 6th!  Listen all week between 3:30 -3:45 pm for the cue to call to WIN tickets!  PROUD FM with Jaret & DJ Alejo will be there!  Don't forget the first 15,000 fans receive a sweet  Blue Jays  Rainbow Hooded Henley!  pic.twitter.com/X3pSE6g47D"
885,@ Orioles  you’re fucking out!!! My new squad is @BlueJays . Today’s Tom Sawyer mean mean  pride !!!!!
886,"We'll be giving away this beautiful #BlueJays  Rainbow Hooded Henley to the first 15K fans at  Pride  Night pres. by @TD_Canada !

   https:// atmlb.com/2W0EFaK   pic.twitter.com/LVsfCybJJ9"
887,Can you purchase online or nah?  Same with last years  pride  hat with the city under the beak ... NEED that but can’t find anywhere 
888,You should also gift one to your favourite follower (that would be me) #BlueJays  #pride
889,"Blue Jay  Pride ! All future  Blue Jays , get involved and enjoy your time at WHS.  pic.twitter.com/Fqu3a0zLmR"
890,I got tickets for the  blue jays   pride  night for Zoe for her birthday and i’ve never been to a jays game so she is (very proudly) taking my “bj virginity”
891,"@ BlueJays  posted about  pride  night and yet another year of ass hats, imma just leave this here. Stay educated folks    pic.twitter.com/0egI7hbcQc"
892,"This specific giveaway won't be available for purchase. However,  http:// JaysShop.ca    will be launching more  Pride  items next week."
893,"I'm reading a book and they were noting a Mischief of Rats, 
like a Murder of crows
a Charm of Hummingbirds
a Party of  Bluejays  - nope
or a  Pride  of Lions.
Thinking up my own:
A Clusterfuck of Politicians
A Fist of Police"
894,I’m so happy and excited to announce that Fife House and Miss Conception Kevin Levesque Kevin Levesque will be unveiling the  Pride  Flag on the field next Thursday for the Toronto  Blue Jays   Pride  Day. Watch the game Live or on TV.  https://www. facebook.com/story.php?stor y_fbid=2978314402209511&id=100000929416798   …
895,We love your city  pride  @MStrooo6  - you are truly a Torontonian. We would love to know Shugo’s neck size so we can send you our @Raptors  Red and @BlueJays  Blue Toronto Collection of collars and leashes.  pic.twitter.com/GaUEgJhwjB
896,Not a fan of basketball before. I along with my employer are always with Toronto  blue jays  and clgary hockey but eto na nga canada  pride  din ang tornto raptors so congrats guys! #WeTheNorth https:// twitter.com/NBATV/status/1 134303113639276545   …
897,I was on Yonge St celebrating when the  BlueJays  won and remember how Toronto had it as a point of  pride  that there were no riots or major damage. I certainly hope for the same if Raptors win or lose this series!
898,Leafs fans have always been brutal but the whole 6ix tdot  pride  thing wasn’t really there until the three months that the  blue jays  were good and it’s been poppin ever since
899,Listen between 3:30-3:45 pm this afternoon to WIN a pair of tickets to Toronto  Blue Jays   PRIDE  NIGHT June 6th  pic.twitter.com/oe3fxVKHL8
900,@ LauraBi00705688  Hey lady! I’m planning to go to the @BlueJays   Pride  Night game next week. @nickofthejays  and I think getting cheap tickets and wandering around/being on the Flight Deck will be fun. Thoughts?
901,"One day, when the Jays finally make it back to the post-season and the World Series, I will say with  pride  that I kept watching through the Edwin Jackson days #BlueJays"
902,"Letter to the Editor: ""I do think the #BlueJays  could have picked a different date than the 75th anniversary of D-Day, June 6, to celebrate #Pride ""  https:// torontosun.com/opinion/letter s/letters-to-the-editor-june-1-2/   …  #PrideTO  #Canqueer  #TOpoli  #cdnpoli  #DDay  @BlueJays  @PrideToronto  #DDay75  #CanadaRemembers pic.twitter.com/WKMBtJ4tXq"
903,Pride  Month
904,"I would have really appreciated it if the #BlueJays  celebrated the first day of  Pride  month by striking noted homophobe Daniel Murphy out. Alas, he hits a double past a diving Jonathan Davis and it is now 3-0 Rockies. Marcus Stroman is not adjusting well to the Rocky Mountains."
905,@ MStrooo6  happy  pride  month #BlueJays
906,"Happy #PrideMonth  @BlueJays  fans! 

Who all’s going to the #Pride  game this year?

Big shout out to all of #Jays  Twitter for all the efforts to make it happen  pic.twitter.com/iOAnx57Y1G"
907,Got my  Pride  hat from last year and just found out I don’t have class this week- so it’s now a possibility!
908,Too easy to find her in that stadium   #canadian#sorry #eh#canada #spotthecanadian  #sports  #stadium  #spotted  #toronto  #bluejays  #habs  #toronto  #ottawa  #vancouver  #calgary#montreal #mapleleaf  #pride  #cad  #viral …  https://www. instagram.com/p/ByM9uWPggSq/ ?igshid=1jxddzt5gn82k   …
909,Please stop with the bullshit  pride  stuff.
910,I hate the  pride  Jersey and hats sry but not looks good in sports haven a rainbow on it sports are rough and tough not dainty but go Jay's go we love all humanity
911,Show your city  pride  with a Toronto flag design on #samsung  & #iphone  cases! #Toronto  #Ontario  #Canada  #lovetoronto  #torontolife  #416 #BlueJays  #TorontoRaptors  #Raptors  #LetsGoBlueJays  #WeTheNorth  #NBAFinals  #6ix  #gifts  #giftideas  #phonecase  #GalaxyS10   https://www. redbubble.com/people/designs yndicate/works/13653256-toronto?p=samsung-galaxy-case&phone_model=samsung_galaxy_s10&cover_type=snap&type=samsung_galaxy_s10_snap   … pic.twitter.com/SHcfzbAZMw
912,I absolutely can’t wait to be at the ballpark for this one. We worked so hard to make sure we got the first one right last year. A heartfelt thank you to the @BlueJays  for inviting my family and I back this year. Can’t wait! @Al_ForeverProud  @RobertWitchel  #Pride  #BlueJays   https:// twitter.com/BlueJays/statu s/1133873170459570176   …
913,"See ya @clintfrazier , you’ve never been mentally tough enough to handle New York. Have fun DHing for the  Blue Jays  in front of 9,000 fans that don’t care when you decide to put more emphasis on your cleats than your accountability and  pride  in the game of baseball."
914,"# BlueJays  are back home tomorrow @RogersCentre  June 4-9th against @Yankees  & @Dbacks  #LetsGoBlueJays  a lot of fun stuff this week Loonie Dog  Night June 4 & #Pride  Night June 6 
 Plan your game & don’t forget to plan your parking  http:// Parking.com/Toronto    #ParkBetterPeriod pic.twitter.com/nafiQKOzmw"
915,"Win Tix to  PRIDE  NIGHT@the Toronto  Blue Jays  Game this Thursday!  Listen between 3:30pm-3:45pm for the cue to call in! When you hear it call (416) 234-0103!  The first 15,000 fans to arrive receive a  Blue Jays  Rainbow hooded henley!  PROUD FM will be live at the game gate 7&8!  pic.twitter.com/RCPr26fsS4"
916,Any #BlueJays  fans out there going to Thursday nights game want to swap me the  Pride  Hoodie for Sanchez Friday Jersey. I can only make Friday game and would prefer the hoodie 
917,"Check out our Executive Director, on Breakfast Television this morning talking about the @BlueJays  and  Pride !
 https://www. bttoronto.ca/videos/blue-ja ys-team-with-lgbt-youthline-for-workshop/   …"
918,Celebrate  Pride  Night at the Toronto  Blue Jays  game this Thursday!  Listen this afternoon between 3:25-3:45 pm to WIN a pair of tickets to check out the game!  To purchase tix visit  http:// bluejays.com/pridebluejays   pic.twitter.com/jvX0TF7s9e
919,"WIN TIX TO  PRIDE  NIGHT@THE TORONTO  BLUE JAYS  GAME ON THURSDAY!  Listen between 3:30pm-3:45pm for the cue to call in! When you hear it call (416) 234-0103!  The first 15,000 fans to arrive receive a  Blue Jays  Rainbow hooded henley!  PROUD FM will be@gate 7&8! Pop by & say hi!  pic.twitter.com/lxqGUOSNX6"
920,"Win Tix to  PRIDE  NIGHT@the Toronto  Blue Jays  Game this Thursday! Were giving away more tix! Listen between 4:20-4:35pm for the cue to call! When you hear it call (416) 234-0103! The 1ST 15,000 fans to arrive receive a  Blue Jays  Rainbow hooded henley! PROUD FM will be@Gate 7&8  pic.twitter.com/gmwLmxfq9w"
921,@ BlueJays   pride  logo is awesome!
922,Like.. the  Blue Jays  have a SICK hoodie giveaway for their  Pride  Night. Their rainbow logo is 
923,Is anyone going 2 the @BlueJays  #Pride  game? I'm trying 2 get a @BlueJays  #Pride  hat or t-shirt 4 a friend's B-DAY gift. As far as I have seen U can only gr8 them from the game. I'm willing 2 pay within reason.
924,@ BlueJays  I'm trying 2 get a hat or shirt from UR #Pride  day game. I can't just come 2 the game since I'm in Edmonton caring 4 my Mom as she's fighting cancer. I'm willing 2 pay 4 it & shipping if that helps. This is going 2 B a gift 2 a big time @BlueJays  fan. Pls DM me
925,"Just finished training @bluejays  staff team to help create a more inclusive space for 2LGBTQ people, in preparation for their  Pride  Night this Thursday. Thanks for showing us around and to @bttoronto  for having us…  https://www. instagram.com/p/ByRKbq8A7By/ ?igshid=71l5ycm978y5   …"
926,"TD is proud to present  Pride  Night with the Toronto  Blue Jays  on Thursday June 6th, the first 15K fans to arrive will receive a special giveaway, for tickets, visit  http:// bluejays.com/pridebluejays    #ForeverProud https:// twitter.com/i/status/11338 09108593676288   …"
927,Pride .
928,Pride  month
929,"It's  Pride  Night Thursday at the Toronto  Blue Jays  Game and PROUD FM will be there!  Wanna go?  Listen this afternoon between 3:30-3:45 pm for the cue to call in to WIN a pair of tix, ball cap, shirt & water bottle!  pic.twitter.com/AhdQLwX8r5"
930,Really hoping the @BlueJays  can reach this level of outreach and commitment to the  LGBTQ  community in Toronto!  https:// twitter.com/Nationals/stat us/1135921967767277570   …
931,"Win tix to  PRIDE  NIGHT@the Toronto  Blue Jays  Thursday!  Listen this afternoon between 3:30-3:45 pm for the cue to call in to WIN a pair of tix, ball cap, shirt & water bottle!  PROUD FM will be there live at gate 7 & 8!  Another chance to win tix coming up between 4:30-4:45pm!  pic.twitter.com/CsFHRV6uEu"
932,Drove by the SkyDome and saw the beautiful rainbow banners hanging outside for  Pride  Night. Well done @BlueJays !!
933,"Win tix to  PRIDE  NIGHT@the Toronto  Blue Jays  Thursday!  Listen this afternoon between 3:30-3:45 pm for the cue to call in to WIN a pair of tix, ball cap, shirt & water bottle!  PROUD FM is live at gate 7 & 8 with DJ Alejo & Jaret!  Pop by the party!  pic.twitter.com/lX0dEPBXD1"
934,"Pride  of Folkston, team co-captain and  pride  of the Bulldog Nation for four years. Record setting defense at second base & DGD!!! Best wishes in your pro career.  We love ya!!!"
935,We suffered through straight  pride  parades after every  Blue Jays  playoff series win a couple years ago
936,.@pgaofcanada  team preparing for the @BlueJays   pride  game tomorrow   ! #PrideMonth  #PrideTO  #TorontoPride  #CityofTO  #BlueJays   pic.twitter.com/CDgwIWJ9pv
937,Beautiful family!! Love that you’re wearing the  pride  hat!
938,@ opheliajcbrown  My parents are going to the  Pride  @BlueJays  game tomorrow. (mom will share her nails on facebook)
939,"@ BlueJays  hi guys, coming to the game Thursday and wondered what size the  pride  sweaters go up to?"
940,Oooh thr @BlueJays  and @NewEraCanada  have #pride  patches that you can get sewn onto hats you buy on Thursday!!  pic.twitter.com/AxRamSND9Y
941,"I. NEED. THIS. #pride  #LetsGoBlueJays  

 Toronto  Blue Jays  Limited Edition City Skyline  PRIDE  Baseball HAT SGA  https:// ebay.us/uAzhx1    via @eBayDE"
942,"Coming up in 2 minutes listen to Win a pair of tickets to check out  PRIDE  Night at the Toronto  Blue Jays  game! PROUD FM with be at Gate 7 & 8 with Jaret & Dj Alejo!  The first 15,000 fans receive a  Blue Jays  Rainbow Hooded Henley!  pic.twitter.com/LgFy5foGZz"
943,Going to the  blue jays   pride  night game tomorrow!!!!  pic.twitter.com/RjOqEfH6wk
944,"@ BlueJays  @RoyalCdnLegion  - Once again, the Management team has shown their complete lack of ethics & responsibility by choosing the #DDay75thAnniversary  to celebrate Gay  Pride . As a grandson of 2 Grandfathers who fought in World War 2,"
945,"You can celebrate #PrideMonth  with the @BlueJays  Thursday at  Blue Jays   Pride  Night. Check out this and other #Toronto  events in our calendar, and make sure to add your event!  http:// torstar.co/vXSb50uxBd5    #PrideTO pic.twitter.com/8gNuZwAgQY"
946,If I'm coming to the game on Friday and want the  pride  hoodie super bad is there any way to obtain that?
947,impressão minha ou o  blue jays  é o único time da MLB fazendo alguma coisa com o  pride  month?
948,"Gotta say, I notice that Jays fans are much more supportive of the  Pride  Night concept than other teams. Respect!"
949,It will only be handed out on  Pride  Night. But we will have plenty of additional  Pride  merch at Jays Shop!
950,@ BlueJays  So it’s the 75th anniversary of DDay and you decide to celebrate gay  pride  instead...i see.
951,Anyone else going to Jays  Pride  Night tonight? (photo from last year)   #BlueJays  #pride   pic.twitter.com/fzM6hpaGWa
952,"The @BlueJays  are going all out for #Pride  on June 6! First 15,000 fans get a FREE rainbow  Blue Jays  hoodie. Toronto Gay Men’s Chorus ( @fortechorus  ) are singing - and that's only the start of the #LGBTQ + events planned  pic.twitter.com/gWH6f1rGwx"
953,I'm going to see the  Blue Jays  play the Yankees tonight! It is  Pride  Day at the ballgame! My work purchased a bunch of tickets for us! I'm going with @RetroNeal  and Chris! I can't wait! :D
954,"Throwing back to a year ago, almost exactly, to last year’s @bluejays   Pride  Night. I’ll be there again tonight and I can’t wait to see what fun, festive things they have going on! 
.
.
#tbt  #throwbackthursday …  https://www. instagram.com/p/ByXwsKyA-z8/ ?igshid=1m12qn7d1diqs   …"
955,"A year ago the #BlueJays  celebrated  Pride  and I was there. Tonight they’re doing it again and I’ll be there! Looking forward to the fun and festivities! 
#Pride  #PrideNight  #TBT  @BlueJays   pic.twitter.com/XVDarJXyPN"
956,The roof will be open at the #BlueJays  game tonight. You know why! #Pride  #DomeOpener pic.twitter.com/LGLMGxoNdJ
957,Pride  Night at the ballpark tonight! Can’t wait to be a part of all the festivities @BlueJays  #LOVEISLOVE  
958,"Gorgeous day in Toronto! Guessing the roof at Skydome (yes, I will continue to call it that to the day i croak) will be open for  Pride  Night at the #BlueJays  game tonight."
959,Just feeling blah today.   Can't wait to get out of the office and head down to @BlueJays   Pride  Night #Pride2019
960,"In celebration of LGBTQ  Pride  Month, the Orioles will host LGBTQ  Pride  Night at Oriole Park on Wednesday, June 12, when the play the  Blue Jays .

A portion of proceeds from each ticket package will benefit Moveable Feast and The  Pride  Center of Maryland."
961,"I'm going to the #BlueJays  #Pride  Night tonight, which I missed last year, yay!"
962,"She wants to get there crazy early to make sure she gets the  Pride  shirt giveaway. So we’re ordering takeout and bringing it with us. 

It was always our tradition to bring arepas to games, but our favourite place recently closed."
963,It’s  pride  night at the @BlueJays  game. Going with a bunch of friends. Can’t wait to have me some much needed fun tonight.
964,"So I’m off ‘til Tuesday, just got super great news in my personal life and heading to  pride  night @BlueJays  tonight... it’s a good day, friends."
965,The  pride  hoodies seem to be in high demand for tonight. Think the lines will be long to get in? #BlueJays
966,@ BlueJays  in support of  PRIDE  night and I really like the sweater you're giving away tonight at the park.  pic.twitter.com/Tm3CdT19Vg
967,I'm pretty stoked for roof open @BlueJays   Pride  Night baseball tonight!! 
968,Dome’s open for the first time this season. There is nothing in this world the  LGBTQ  can’t accomplish. #BlueJays  #PrideNight
969,going  @BlueJays   pride  night hehe
970,I'm glad the @BlueJays  (finally) got on board with celebrate #Pride   https:// twitter.com/BlueJays/statu s/1136717030864936960   …
971,"On my way, looking cute as hell. You lucky bastards! #BlueJays  #Pride  "
972,Coming to @BlueJays   Pride  Night? Drop by our experience @Torontounion  if you’re taking transit! #PrideNightPresentedbyTD pic.twitter.com/pDtr870uwm
973,# CreditRepairNowCa   http:// bit.ly/2WmbTpb    RT TD_Canda Coming to  BlueJays   Pride  Night? Drop by our experience Torontounion if you’re taking transit! #PrideNightPresentedbyTD   pic.twitter.com/wmLUoEN36B  #CreditRepairNow  #CreditRepair  #CreditRepairSpecialist   http:// bit.ly/2W36zHd  
974,# DominionLendingCenterMortgageHouse   http:// bit.ly/2WqrkwQ    RT TD_Canada Coming to  BlueJays   Pride  Night? Drop by our experience Torontounion if you’re taking transit! #PrideNightPresentedbyTD   pic.twitter.com/71x9LDC5OZ
975,how many of the OG #skydames  are at the  Pride  extravaganza vs the yankees? #bluejays
976,Happy  pride  rehearsal for Toronto  Blue Jays  Fife House TD Bank Corporate Office  https://www. facebook.com/story.php?stor y_fbid=2997420093632275&id=100000929416798   …
977,"First 15,000 fans get a  Pride  hooded henley during @BlueJays   Pride  Night!  pic.twitter.com/A4jCEH7N0L"
978,"# CreditRepairNowCa   http:// bit.ly/2WmbTpb    RT TD_Canda First 15,000 fans get a  Pride  hooded henley during  BlueJays   Pride  Night!  pic.twitter.com/h9bKaIvWnU  #CreditRepairNow  #CreditRepair  #CreditRepairSpecialist   http:// bit.ly/2W36zHd  "
979,"# DominionLendingCenterMortgageHouse   http:// bit.ly/2WqrkwQ    RT TD_Canada First 15,000 fans get a  Pride  hooded henley during  BlueJays   Pride  Night!  pic.twitter.com/gKPxBBOZ4u"
980,Honestly it’s  Pride  Night and the @BlueJays  should be wearing wigs tonight it’s really not asking for much
981,At the  Pride  Night  Blue Jays  game with Ms. Kurz! @waiting4aghost  @NorthParkSSca   pic.twitter.com/fr1Xwn5Jdy
982,At my first MLB game tonight watching @BlueJays  and it’s  pride  night.   #pridenight  #goblueGays pic.twitter.com/8loaDOZpNV
983,Happy #Pride  !! It’s #PrideNight  with the @BlueJays    @RGrich15  tells @DamnitMaurie  what  pride  means to him! #BlueJays  #PrideMonth  @PrideToronto pic.twitter.com/LjzuJZ5y63
984,"Tonight is #PrideNight  at the #BlueJays  Game.  First 15,000 fans get a  Pride  hooded henley!  It’s not too late grab your tickets & plan your parking    http:// Parking.com/Toronto    #ParkBetterPeriod  #LetsGoBlueJays  #Pride  #200University  #18York  #200QueensQuay https:// twitter.com/SPPlusToronto/ status/1136748167876227072   …"
985,"Hi Chris, these hoodies will be given to fans at the  Blue Jays   Pride  night. Hopefully you'll be able to attend and get one!"
986,"# CreditRepairNowCa   http:// bit.ly/2WmbTpb    RT TD_Canda Chrisalexand3r Hi Chris, these hoodies will be given to fans at the  Blue Jays   Pride  night. Hopefully you'll be able to attend and get one! #CreditRepairNow  #CreditRepair  #CreditRepairSpecialist   http:// bit.ly/2W36zHd  "
987,Go Jays Go!!!  Pride  Night with the Toronto  Blue Jays . #foreverproud  #beyouhere pic.twitter.com/IA1PPuC7JQ  – at  WestJet Flight Deck
988,Come check out the TD  Pride  Baseball Wall in the Flight Deck during  Pride  Night @BlueJays !    pic.twitter.com/sWM4ivB1YH
989,# CreditRepairNowCa   http:// bit.ly/2WmbTpb    RT TD_Canda Come check out the TD  Pride  Baseball Wall in the Flight Deck during  Pride  Night  BlueJays !    pic.twitter.com/EYdtlYrFhz  #CreditRepairNow  #CreditRepair  #CreditRepairSpecialist   http:// bit.ly/2W36zHd  
990,"# DominionLendingCenterMortgageHouse   http:// bit.ly/2WqrkwQ    RT TD_Canada Chrisalexand3r Hi Chris, these hoodies will be given to fans at the  Blue Jays   Pride  night. Hopefully you'll be able to attend and get one!"
991,# DominionLendingCenterMortgageHouse   http:// bit.ly/2WqrkwQ    RT TD_Canada Come check out the TD  Pride  Baseball Wall in the Flight Deck during  Pride  Night  BlueJays !    pic.twitter.com/ir9d1gxzbc
992,"OK  BLUE JAYS , LET’S PLAY BALL!!
TD  Pride  Game - Yankees@Toronto
#BlueJays  #TDPride  #ForeverProud pic.twitter.com/DnhAuXuocg"
993,Who’s excited for @BlueJays   Pride  Night?!  pic.twitter.com/WKoPWmYtRO
994,Happy  Pride  with the @BlueJays  #bluejays  #wife  #pride  #love    #letsgobluejays pic.twitter.com/wLbdGIQspB
995,# CreditRepairNowCa   http:// bit.ly/2WmbTpb    RT TD_Canda Who’s excited for  BlueJays   Pride  Night?!  pic.twitter.com/vxFlvXQu4Q  #CreditRepairNow  #CreditRepair  #CreditRepairSpecialist   http:// bit.ly/2W36zHd  
996,# DominionLendingCenterMortgageHouse   http:// bit.ly/2WqrkwQ    RT TD_Canada Who’s excited for  BlueJays   Pride  Night?!  pic.twitter.com/GroyYcqITB
997,Sporting my fancy #pride  epaulettes tonight at @BlueJays  #pridenight    I’ll be hanging out in the #jaysbullpen    #happypride  #pridemonth  #ally   #gojaysgo pic.twitter.com/KRGIOI6VuY
998,@ BlueJays  2nd Anniversary of  Pride  Night #PrideNight  #LetsGoBlueJays pic.twitter.com/n5uA2ExJWC
999,Happy  Pride  Night #BlueJays  fans!!! So proud to be an ally of my LGBTQ friends and family!!! #inclusion  #diversity
1000,"Seeing sport support my community will never get old! Looking forward to a great night celebrating with the @BlueJays   

Thanks for having me @TD_Canada ! And @Converse  for helping me show my  Pride . 

#PrideNight pic.twitter.com/P7InweM1MY  – at  Skydome"
1001,"A night out with tons of #LGBTQ2s  folks, celebrations for #PrideMonth2019  and baseball   with the @BlueJays , plus this  pride  freebie. What a night! #LetsGoBlueJays pic.twitter.com/DETIKUwIe8"
1002,straight people can wear  pride  apparel too Frank!
1003,One of our boys sporting a @BlueJays   Pride  hoodie as we wait for first pitch. @fvjh_official  @HRCE_NS  #Pride2019 pic.twitter.com/svJz6jGh2G
1004,"Beautiful night for some open Dome baseball!  Happy  Pride , my lovelies.  Stay true to your beautiful selves.   #torontobluejays  #bluejays  #jays  #letsgobluejays  #PrideNight  #pride2019  #pridetoronto @Skydome  https://www. instagram.com/p/ByYrQUqhpht/ ?igshid=o8s7zuyrh79i   …"
1005,@ JAHappster  oh how I wish you were pitching for the other team!   @BlueJays  @Yankees  @MLB  @RogersCentre  #LetsGoBlueJays  #Bluejays  #TORONTO  #pridenight  @TDBank_US  #rainbowmix  #pride  #lgbt pic.twitter.com/TQfYz1yL8W
1006,"Who’s here for #Pride  night at the @BlueJays  game? Show me your #Jays   pride 

#GoJaysGo pic.twitter.com/9eKRTQBkKa"
1007,Feelin fresh #Pride  #BlueJays   pic.twitter.com/RaUpZxiTou
1008,Pride  night as the  Blue Jays  hope to sweep the Yankees  pic.twitter.com/wnhL8UW244
1009,@ BlueJays  #jays  #pride   pic.twitter.com/GRUZjzJqe6
