Timestamp,Approximately how many games do you attend each season?,What is your favorite team?,Do you identify as LGBTQ+ ?,Did your favorite team host a Pride Night this season?,Did you attend Pride Night this season?,When planning future trips to the ballpark:,"If your team hosts a Pride Night,  what do you think of the promotion and production? [Advertising]","If your team hosts a Pride Night,  what do you think of the promotion and production? [Pre-Game Activities]","If your team hosts a Pride Night,  what do you think of the promotion and production? [In-Game Entertainment/Features]","If your team hosts a Pride Night,  what do you think of the promotion and production? [Promotional Items]",What is your overall impression of MLB Pride Night themes?,What is your favorite themed night or promotion to attend?
9/20/2019 3:17,None,Philadelphia Phillies,No,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Meh,Dollar Dog Night
9/20/2019 3:29,43470,Los Angeles Dodgers,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough",Just the right amount,"Did some, but not enough",Just the right amount,I am pretty apathetic and have no issue with them,None; I like free bobbleheads and merchandise though.
9/20/2019 3:33,43784,Boston Red Sox,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"Cool that they do it, but I don't really know much about it.",Anything with cheaper concessions. 
9/20/2019 3:50,16-20,Los Angeles Dodgers,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Don't know/unaware of this feature,Just the right amount,I think it's great that so many teams have a pride night. It's very cool that teams are promoting diversity and inclusion with these nights.,Star Wars Night
9/20/2019 3:53,43470,New York Mets,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I think they are an important part of welcoming all groups to our beloved game.,I did not attend. I live overseas.
9/20/2019 4:05,43470,St. Louis Cardinals,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Well planned and thought out.,Seat cushion night...
9/20/2019 4:44,43470,New York Yankees,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"I don’t hear enough about them to really be aware of them, but they’re good for both the game and for LGBTQ+ acceptance, and that’s cool by me. ",Bobbleheads!
9/20/2019 5:10,43470,New York Mets,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Unaware of them,Free-Shirt Friday
9/20/2019 6:00,43470,Cincinnati Reds,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,No opinion,Don’t care. I just want baseball. 
9/20/2019 7:27,43626,Baltimore Orioles,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,"The Orioles charged for a special ticket to get a pride Orioles hat. Stupid. Don’t know if other teams made it an add-on promotion, but if they did they are stupid too.",N/A
9/20/2019 7:34,43626,Milwaukee Brewers,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Unnecessary ,None
9/20/2019 7:43,None,Milwaukee Brewers,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,There needs to be more media coverage and attention given.,Never been to one.
9/20/2019 8:00,43470,St. Louis Cardinals,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,Glad they are being done,Fuck the Cubs
9/20/2019 8:01,16-20,Washington Nationals,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,I like them and wish all teams had them,Bobblehead of my favorite players? 
9/20/2019 8:04,43784,Baltimore Orioles,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Don't know/unaware of this feature,Just the right amount,It’s important that everybody feels welcome at the ballpark,"I would rather most theme nights stay in the minors, where they belong."
9/20/2019 8:11,43470,New York Yankees,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"The theme is cool, though I am basing it on a minor league park pride night.","I have been to too many promotions, but i like the giveaways. I went to a yankee game a while ago where i got a lunchbox"
9/20/2019 8:16,43470,Boston Red Sox,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"Great, should Foster an environment of inclusivity pride night or not. ",None 
9/20/2019 8:19,43470,New York Yankees,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I like them,Idk
9/19/2019 20:07,21 or more,Washington Nationals,No,Yes,I attended specifically because it was Pride Night,I would go out of my way to attend on Pride Night,,,,,I think it's great that MLB is trying to involve the LGBTQ community.,Pups in the Park
9/19/2019 22:39,43626,Washington Nationals,No,Yes,I attended specifically because it was Pride Night,I would go out of my way to attend on Pride Night,"Did some, but not enough","Did some, but not enough","Did some, but not enough",Just the right amount,It’s great that MLB teams are pushing that baseball is for everyone. ,"Shirt nights are my favorite, then bobble head nights. "
9/19/2019 22:57,43470,Washington Nationals,No,Yes,I attended specifically because it was Pride Night,Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,"Did some, but not enough",".Nats Park does a good job, it’s always during DC Pride and well promoted. The rest of the MLB seems to be catching up but the vitriol on social media shows they have a long way to go. Seems like Yankee Stadium doesn’t have one?",Nats Park Pride with my BFF gay who’s a hardcore Nats fan is always a blast. Star Wars Day is always SUPER extra too.
9/19/2019 23:49,43470,Detroit Tigers,No,Yes,I attended specifically because it was Pride Night,I would go out of my way to attend on Pride Night,"Did some, but not enough","Did some, but not enough","Did some, but not enough","Did some, but not enough","It's amazing, having these sort of themes really helps remove the stigma against the LGBTQ+ community and makes it easier for people not in the community to accept members of the community as normal and equal.",Pride Night.
9/19/2019 20:26,43626,Atlanta Braves,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Too Much,Too Much,Too Much,Too Much,stupid. I don't know why we need so many special nights if we're all supposd to be having equality.,any  giveaway item
9/19/2019 22:54,43470,New York Mets,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Wasn't done at all,Just the right amount,Wasn't done at all,"Did some, but not enough","I feel that they, like all corporate Pride events, aren't coming from a genuine place.  I don't think the MLB cares about queer people they are just holding a pride night to keep up appearances and because it would be suspicious for them not to hold one.      ",Fireworks or cool giveaways
9/19/2019 23:01,43470,Cincinnati Reds,No,I don't know,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Undecided,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,👌,T-shirt giveaways
9/19/2019 23:53,43626,St. Louis Cardinals,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Too Much,Just the right amount,Just the right amount,Just the right amount,Completely indifferent,Fireworks Night
9/20/2019 0:02,43626,Milwaukee Brewers,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,"Did some, but not enough","Did some, but not enough",     .,.
9/20/2019 0:04,21 or more,Los Angeles Angels,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,It seemed like a good event for people who partake in pride events ,Bobblehead 
9/20/2019 0:06,21 or more,Los Angeles Dodgers,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Seems like the target audience enjoyed the event. Nice to make people feel welcomed. ,Unique apparel items
9/20/2019 0:20,43626,New York Mets,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don’t really care either way,Any shirt giveaway really
9/20/2019 0:45,43626,Minnesota Twins,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,"Meh, I’m here to watch baseball",Fan appreciations nights are fun
9/20/2019 0:47,21 or more,Washington Nationals,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,"Did some, but not enough",Great,College Night
9/19/2019 22:27,21 or more,Baltimore Orioles,No,Yes,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,"Did some, but not enough","Did some, but not enough","Did some, but not enough","Did some, but not enough",All faggots suck,Hair cut game
9/19/2019 22:28,43470,New York Yankees,No,"I don't know, No",I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,,,,,Unnecessary,"Something that actually relates to baseball, or beer."
9/19/2019 22:43,43626,Minnesota Twins,No,No,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Pandering,Bobbleheads 
9/19/2019 22:59,43470,New York Yankees,No,Yes,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,Too Much,Too Much,Too Much,Too Much,"I get it, but my goodness does LGBTQIAPP have to invade every single aspect of my life? I couldn't care less if somebody was or wasn't homosexual, but honestly there is a point and that line was passed long ago with how necessary it is for every single thing to have to host a ""Pride"" event. PRIDE! It's not good to be prideful. You should be happy with what you do and who you are, but pridefulness is the epitome of arrogance and self-inflation. Personally, i can't stand it.","Depends on the year, usually bobbleheads though."
9/19/2019 23:10,21 or more,Chicago Cubs,No,"I don't know, Yes, No",I avoided the game specifically because it was Pride Night,Undecided,Too Much,Too Much,Too Much,Too Much,Not enough eugenics,Eugenics night
9/19/2019 23:24,43470,Philadelphia Phillies,No,Yes,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,Too Much,Too Much,Too Much,Too Much,It’s just pandering. Nobody needs it.,$1 hotdogs 
9/19/2019 23:58,43626,Los Angeles Angels,No,Yes,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,not for it ,Christmas in July
9/20/2019 1:26,43470,Houston Astros,No,I don't know,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,,,,,They are Uber gay,Titties and beer night
9/20/2019 7:26,43626,San Diego Padres,No,Yes,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Too Much,Too Much,Too Much,Went way overboard just to virtue signal,Jersey giveaway
9/19/2019 22:04,43470,Cincinnati Reds,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,don't care much one way or the other,opening day!!!!!
9/19/2019 22:31,43626,New York Yankees,No,No,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,,,,,"They’re fine, I just don’t go out of my way for them.",I just go for the cool baseball.
9/19/2019 22:46,43626,Los Angeles Angels,No,No,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,,,,,I’m not sure what any of them are,Star Wars night 
9/19/2019 23:07,43470,Pittsburgh Pirates,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,Wasn't done at all,Wasn't done at all,Wasn't done at all,Wasn't done at all,Cool,Steven Brault day (they should make one)
9/19/2019 23:09,43470,Houston Astros,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,,,,,pointless,all the promotions are stupid. 
9/19/2019 23:15,43626,Cleveland Indians,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to attend on Pride Night,Wasn't done at all,Wasn't done at all,Wasn't done at all,Wasn't done at all,Good ,Dollar hot dog night 
9/19/2019 23:17,43470,Atlanta Braves,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Apathetic ,Bobbleheads
9/19/2019 23:25,43470,Atlanta Braves,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,,,,,I didn’t know any teams had them,Fourth of July
9/19/2019 23:42,43784,Colorado Rockies,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"It's stupid, who cares",None
9/20/2019 0:08,43470,Seattle Mariners,No,I don't know,I don't know when it was/not sure if I attended,I would only attend if I liked the promotional item,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,meh. I would rather see teams support the community than try to get people to attend a game to show that they care about certain social causes. ,Star Wars
9/20/2019 0:13,43470,New York Mets,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I think it's a lovely idea but it was not well publicized; I don't know when it even was. I would also like to see clearer league-wide support for the LGBT community. ,whenever they give away t-shirts or bobbleheads 
9/20/2019 0:26,43470,Houston Astros,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to avoid Pride Night,,,,,They’re gay,Just give me a goddamn bat
9/20/2019 0:35,43470,St. Louis Cardinals,No,Yes,I don't know when it was/not sure if I attended,I would only attend if I liked the promotional item,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,should do more pride nights,pride night
9/20/2019 0:51,43470,Atlanta Braves,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,It's fine,4-Jul
9/20/2019 1:06,43470,Boston Red Sox,No,I don't know,I don't know when it was/not sure if I attended,I would only attend if I liked the promotional item,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,who cares,don't care
9/20/2019 1:34,43626,Arizona Diamondbacks,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Bad,Luis Gonzalez
9/20/2019 3:39,43626,New York Yankees,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Yay,Unknown 
9/20/2019 8:07,43470,Los Angeles Dodgers,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to avoid Pride Night,Too Much,Too Much,Too Much,Too Much,Out of place,None
9/20/2019 9:06,43626,Washington Nationals,No,Yes,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",I would go out of my way to attend on Pride Night,"Did some, but not enough",Don't know/unaware of this feature,"Did some, but not enough","Did some, but not enough",it's a good idea but I think it needs a lot more publicity,pups in the park
9/20/2019 9:12,43470,San Francisco Giants,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Just the right amount,Just the right amount,It's good to be inclusive and have fun with it,More interested in the matchup
9/20/2019 9:16,43626,St. Louis Cardinals,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,It's fine. There's nothing really wrong with it. ,Star Wars Night
9/20/2019 9:24,43470,Washington Nationals,No,Yes,"Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,Just the right amount,,,,Good!,More about giveaways than themes
9/20/2019 9:34,43626,New York Mets,Yes,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,No impression ,It could be pride night if i had known 
9/20/2019 9:37,43470,New York Mets,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,,,,,Meh.,None
9/20/2019 9:41,43470,Houston Astros,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,Fine,Friday Fireworks usually
9/20/2019 9:47,None,Houston Astros,No,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,,,,,Stupid and unproductive. Who cares if your LBTQP etc... or 1 of three million genders. its only three percent of the population. Do your own stuff just leave me out.,none
9/20/2019 9:48,43784,Oakland Athletics,Yes,Yes,I attended specifically because it was Pride Night,I would go out of my way to attend on Pride Night,"Did some, but not enough",Just the right amount,"Did some, but not enough","Did some, but not enough",I love that my team tries to make everyone feel welcome. Pride Night is a big part of that.  I miss Sean Doolittle and Eireanne Dolan. They were huge advocates and allies of LGBTQ youth.  Maybe one day this will help a player feel comfortable coming out. I love that we have about a million different theme nights and we recognize everyone. Go A's! #rootedInOakland,Pride Night
9/20/2019 9:54,43626,Milwaukee Brewers,No,I don't know,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,Just the right amount,Too Much,Just the right amount,Just the right amount,Don’t really care,Jersey or ring giveaway
9/20/2019 10:01,43470,New York Yankees,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I don’t really care,Star Wars Night
9/20/2019 10:04,21 or more,Toronto Blue Jays,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,good,hat giveaways
9/20/2019 10:08,43470,New York Yankees,Yes,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Glad that MLB teams are making this happen,Pride Night
9/20/2019 10:17,43470,Houston Astros,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"I think they're a good idea; like all ideas, they can be handled well or poorly, and I haven't paid enough attention to know how teams are actually executing them.",Star Wars
9/20/2019 10:34,None,Washington Nationals,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"I think they are kind of divisive and hokey, but generally harmless and people should get over it.",Independence Day
9/20/2019 10:43,43626,Atlanta Braves,Yes,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,Glad they do it. Shirts/hats are cool,None specifically 
9/20/2019 10:44,43626,Houston Astros,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,I'm happy that the MLB goes out to be inclusive. ,Star wars
9/20/2019 10:44,43470,Milwaukee Brewers,No,I don't know,"Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,,,,,Good,Giveaways
9/20/2019 11:03,43470,Washington Nationals,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't care.,College nights.
9/20/2019 11:16,43470,Cincinnati Reds,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Not needed.  Why does any group need to be singled out?  ,don't care about promotions
9/20/2019 11:17,43470,Philadelphia Phillies,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I don’t really care,Baseball themed
9/20/2019 11:20,43626,Chicago White Sox,No,Yes,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"Not a big deal since it's easily avoidable. Also, I hope this survey isn't just being done on Reddit if what you want is the opinions of an average baseball fan. ",dollar dog
9/20/2019 11:40,43470,Kansas City Royals,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Good! More inclusivity ,Any bobble head giveaway 
9/20/2019 11:40,43470,New York Yankees,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I dont know the specifics of Pride Nights ,Bobblehead nights
9/20/2019 11:42,43470,Texas Rangers,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I'd be fine with it.,I don't have a favorite.
9/20/2019 11:49,43470,Boston Red Sox,Yes,I don't know,"Didn't attend, but not because of Pride Night",Undecided,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I like it,I don't attend just for themes and am usually unaware of them
9/20/2019 11:55,43470,Houston Astros,No,I don't know,I don't know when it was/not sure if I attended,I would go out of my way to avoid Pride Night,Wasn't done at all,Wasn't done at all,Wasn't done at all,Wasn't done at all,Meh,Moon landing
9/20/2019 12:13,43470,Houston Astros,No,No,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,,,,,I like it and I wish my team hosted one,I normally attend dollar hot dog days but that's more happenstance. Who giveaways and who we play influence my decision more
9/20/2019 12:18,43626,Oakland Athletics,No,I don't know,"I attended, but not on purpose/was not aware of Pride Night/did not pick the game date",Pride Night would not influence my choice of game,,,,,Good idea. Love the rainbow hats.,Bark at the Park
9/20/2019 12:41,43626,Houston Astros,Yes,No,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,,,,,Definitely a good initiative ,Apollo 11 anniversary 
9/20/2019 12:47,43470,Los Angeles Dodgers,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,"I think they're important, and cast a positive light on a sensitive situation",Pride Night
9/20/2019 12:51,43470,Seattle Mariners,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,"I think its great for the community, but it doesn't influence my attendance either way. ",Bark in the Park
9/20/2019 13:06,43626,Los Angeles Dodgers,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,,,,,I like it. It promotes a good cause and encourages more people to be baseball fans,$1 dodger dogs
9/20/2019 13:08,"1-5, 16-20",Boston Red Sox,No,Yes,I avoided the game specifically because it was Pride Night,I would go out of my way to avoid Pride Night,,,,,Who cares. Is your sexuality really that special. Is it really equality if one is celebrated constantly and one is not?,Firework! Or bobble head
9/20/2019 13:09,43626,Philadelphia Phillies,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,,,,,decent idea,bark in the park
9/20/2019 13:27,21 or more,Cleveland Indians,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,Wasn't done at all,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Indifferent,Jersey giveaway
9/20/2019 13:33,43470,Houston Astros,No,No,"Didn't attend, but not because of Pride Night",Undecided,,,,,Good for the sport ,Dollar hot dog night 
9/20/2019 13:59,43784,Pittsburgh Pirates,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,"It should not be overly promoted. It should get the same treatment as other niche events such as First Responders Night, Mexican Heritage Night or Faith Night. It doesn't need to be an all-encompassing thing and shouldn't take over the entire nine-inning game. People who fall into those groups should be able to get a ticket discount, special promotional item and sit amongst friends.  ",Bobblehead giveaway
9/20/2019 14:00,43470,New York Yankees,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Wasn't done at all,Wasn't done at all,Wasn't done at all,Wasn't done at all,Anything that promotes inclusiveness is a fine idea. ,I could always go for a bobble head 
9/20/2019 14:03,21 or more,Los Angeles Dodgers,Yes,Yes,I attended specifically because it was Pride Night,I would only attend if I liked the promotional item,Just the right amount,Just the right amount,Just the right amount,Just the right amount,"I attended two pride nights this year, both Dodgers and Angels. The Angels night was a tepid disappointment, which I suppose is appropriate for them in general. I do not care for the Dodgers promotional pride gym bag because I’m not a gym gay, but it was a good time. ","Old Timers, easily. It is a delight to see the alumni play a game. "
9/20/2019 14:14,43784,Cleveland Indians,No,I don't know,I don't know when it was/not sure if I attended,Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"Don’t have one, cool I suppose",The one where they play baseball
9/20/2019 14:25,43470,Boston Red Sox,Yes,"I don't know, Yes","Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"I like them, I think we should spread an idea of inclusivity at all levels of society, so it's important to see this even in areas where you might not think of LGBTQ+, such as sports. I appreciate that the teams do this, but it doesn't necessarily make me want to go to the game just because of that.",Don't really have one
9/20/2019 14:31,43470,Arizona Diamondbacks,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,"Did some, but not enough",I think it's a great way for LGBTQ+ fans to feel welcomed to the game whether they go to pride night or any regular game.,Hispanic Heritage Night
9/20/2019 14:47,21 or more,Washington Nationals,Yes,Yes,I attended specifically because it was Pride Night,I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,Just the right amount,Just the right amount,Glad they have them!,I don't pay a lot of attention to promotions beyond giveaways
9/20/2019 14:51,"16-20, 21 or more",Milwaukee Brewers,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,They're a good thing and they should continue to be hosted throughout all sports to increase awareness and acceptance of all things LGBTQ+.,Bobbleheads tbh. Or star wars night
